"strokeNumber","time","x","y"
"5","6199","83","12.04"
"5","6220","83","12.04"
"5","6236","83","13.04"
"5","6250","83","13.04"
"5","6266","83","15.04"
"5","6280","83","17.04"
"5","6296","83","20.04"
"5","6318","82","24.04"
"5","6348","77","28.04"
"5","6362","75","29.04"
"5","6378","72","30.04"
"5","6392","69","30.04"
"5","6400","68","30.04"
"6","6671","91","21.04"
"6","6672","91","20.04"
"6","6686","91","29.04"
"6","6720","97","25.04"
"6","6722","99","23.04"
"6","6738","100","22.04"
"6","6754","100","22.04"
"6","6768","100","23.04"
"6","6782","101","24.04"
"6","6798","103","24.04"
"6","6807","103","24.04"
"7","6860","111","18.04"
"7","6880","114","17.04"
"7","6896","117","16.04"
"7","6910","120","16.04"
"7","6926","121","16.04"
"7","6940","122","18.04"
"7","6956","122","19.04"
"7","6970","122","21.04"
"7","6986","120","23.04"
"7","7000","115","23.04"
"7","7008","112","23.04"
"8","7077","111","18.04"
"9","7093","111","18.04"
"9","7112","108","25.04"
"9","7128","108","28.04"
"9","7144","108","31.04"
"9","7158","108","32.04"
"9","7166","108","33.04"
"10","7421","131","21.04"
"10","7437","131","21.04"
"10","7458","131","27.04"
"10","7472","131","27.04"
"10","7488","131","27.04"
"10","7497","131","27.04"
"11","7550","131","21.04"
"12","7578","131","21.04"
"12","7579","141","22.04"
"12","7592","141","23.04"
"12","7608","142","23.04"
"12","7630","145","23.04"
"12","7646","148","23.04"
"12","7660","150","23.04"
"12","7676","151","23.04"
"12","7690","151","23.04"
"12","7706","151","24.04"
"12","7720","152","25.04"
"12","7736","152","27.04"
"12","7745","152","27.04"
"13","16453","178","17.04"
"13","16454","178","17.04"
"13","16458","196","17.04"
"13","16472","196","16.04"
"13","16488","197","15.04"
"13","16502","198","13.04"
"13","16518","198","11.04"
"13","16532","197","10.04"
"13","16548","193","10.04"
"13","16562","189","10.04"
"13","16578","186","11.04"
